Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago,User
0,Mon Jul 30 16:41:03 +0000 2018,1,0,0,MOMENTS AGO: President Trump meets with Italian Prime Minister Giuseppe Conte https://t.co/ILVmoXBlJW https://t.co/DTtXQUbb9o,40,@CBSNews
0.1779,Mon Jul 30 16:34:22 +0000 2018,0.925,0,0.075,"RT @CBSEveningNews: TONIGHT: @jeffglor anchors the CBS Evening News from Redding, CA - as the deadly and growing wildfires force tens of thâ€_",41,@CBSNews
-0.5267,Mon Jul 30 16:29:52 +0000 2018,0.761,0.239,0,Man forced to pay nearly $9 million for having affair with other man's wife https://t.co/XxIKxOaeCT https://t.co/3bzTRobxPT,42,@CBSNews
-0.3818,Mon Jul 30 16:14:36 +0000 2018,0.852,0.148,0,"Advances in IVF testing spurring debate over ""mosaic"" embryos that some fertility experts disagree onâ€_ https://t.co/A7DFchmDr4",43,@CBSNews
-0.5994,Mon Jul 30 16:06:10 +0000 2018,0.837,0.163,0,"""Since 1999, there have been 42 deaths associated with duck boats...60 million people would die if cars were as danâ€_ https://t.co/WP3HsBw0pq",44,@CBSNews
-0.2263,Mon Jul 30 16:04:07 +0000 2018,0.899,0.101,0,"""Duck boats are sinking coffins,"" attorney says while describing lawsuit seeking $100million for families of duck bâ€_ https://t.co/TUo8095eUE",45,@CBSNews
-0.7506,Mon Jul 30 16:02:43 +0000 2018,0.686,0.314,0,WATCH: Attorneys describe lawsuit seeking $100 million for families of people killed on Duck Boatâ€_ https://t.co/oGygdbCIyy,46,@CBSNews
-0.6486,Mon Jul 30 16:00:01 +0000 2018,0.699,0.301,0,"Brian Christopher Lawler, former WWE star, dead at 46 https://t.co/vi4lMkkAjW https://t.co/rFYDnvtPZM",47,@CBSNews
0.6124,Mon Jul 30 15:45:13 +0000 2018,0.808,0,0.192,"""I was talking to my little grandson on the phone, he was saying, 'Grandpa, please, you gotta come and help us, theâ€_ https://t.co/C2pVp4JseP",48,@CBSNews
0.6124,Mon Jul 30 15:29:50 +0000 2018,0.706,0,0.294,"President Trump's economic team sees continued robust growth, despite widely held outside opinionâ€_ https://t.co/TDhCjNZOfI",49,@CBSNews
0,Mon Jul 30 15:14:30 +0000 2018,1,0,0,ISIS kidnaps dozens of women and girls in deadly Syria raids https://t.co/hl5GRODCiU https://t.co/iKVxQx0wOM,50,@CBSNews
-0.743,Mon Jul 30 14:59:35 +0000 2018,0.478,0.411,0.11,"Pope accepts resignation of Archbishop Philip Wilson, convicted of sex abuse cover-up https://t.co/VyJPDXTIfU https://t.co/D9oPCYp6Vx",51,@CBSNews
0,Mon Jul 30 14:44:38 +0000 2018,1,0,0,"Social media users are ""fawning"" over a photo of a California Highway Patrol officer getting ""kissed"" by a baby deeâ€_ https://t.co/pOQ6bctwpJ",52,@CBSNews
0.5945,Mon Jul 30 14:29:38 +0000 2018,0.805,0,0.195,"85-year-old Ruth Bader Ginsburg aims to serve ""at least five more years"" on Supreme Court https://t.co/Z9A0ASTHNM https://t.co/LeFebnMZkV",53,@CBSNews
0,Mon Jul 30 14:14:36 +0000 2018,1,0,0,"Big Mac is 50, and McDonald's is sticking with the aging icon https://t.co/KncDhMvmlS https://t.co/HNZNBCSaVL",54,@CBSNews
0,Mon Jul 30 13:59:39 +0000 2018,1,0,0,Caesars will start taking sports bets in two states https://t.co/Rjhqeq92Zi https://t.co/h4GdYAzItK,55,@CBSNews
0,Mon Jul 30 13:44:52 +0000 2018,1,0,0,U.S. firms seeking President Trump's steel tariff waiver face backlash https://t.co/TN6anAsonF https://t.co/r6PeEKiuQk,56,@CBSNews
-0.0516,Mon Jul 30 13:29:54 +0000 2018,0.926,0.074,0,"""Medicare for all"" plan touted by Bernie Sanders would cost $32.6 trillion, study finds https://t.co/7eqKM21V5Z https://t.co/R7Svzw7tNC",57,@CBSNews
